router
#node	comment	yPos	xPos
0	NA	0	0
1	NA	0	0
2	NA	0	0
3	NA	0	0
4	NA	0	0
5	NA	0	0
6	NA	0	0
7	NA	0	0
8	NA	0	0
9	NA	0	0
10	NA	0	0
11	NA	0	0
12	NA	0	0
13	NA	0	0
14	NA	0	0
15	NA	0	0
16	NA	0	0
17	NA	0	0
18	NA	0	0
19	NA	0	0
20	NA	0	0
21	NA	0	0
22	NA	0	0
23	NA	0	0
24	NA	0	0
25	NA	0	0
26	NA	0	0
27	NA	0	0
28	NA	0	0
29	NA	0	0
30	NA	0	0
31	NA	0	0
32	NA	0	0
33	NA	0	0
34	NA	0	0
35	NA	0	0
36	NA	0	0
37	NA	0	0
38	NA	0	0
39	NA	0	0
40	NA	0	0
41	NA	0	0
42	NA	0	0
43	NA	0	0
44	NA	0	0
45	NA	0	0
46	NA	0	0
47	NA	0	0
48	NA	0	0
49	NA	0	0
50	NA	0	0
51	NA	0	0
52	NA	0	0
53	NA	0	0
54	NA	0	0
55	NA	0	0
56	NA	0	0
57	NA	0	0
58	NA	0	0
59	NA	0	0
60	NA	0	0
61	NA	0	0
62	NA	0	0
63	NA	0	0
64	NA	0	0
65	NA	0	0
66	NA	0	0
67	NA	0	0
68	NA	0	0
69	NA	0	0
70	NA	0	0
71	NA	0	0
72	NA	0	0
73	NA	0	0
74	NA	0	0
75	NA	0	0
76	NA	0	0
77	NA	0	0
78	NA	0	0
79	NA	0	0
80	NA	0	0
81	NA	0	0
82	NA	0	0
83	NA	0	0
84	NA	0	0
85	NA	0	0
86	NA	0	0
87	NA	0	0
88	NA	0	0
89	NA	0	0
90	NA	0	0
91	NA	0	0
92	NA	0	0
93	NA	0	0
94	NA	0	0
95	NA	0	0
96	NA	0	0
97	NA	0	0
98	NA	0	0
99	NA	0	0
100	NA	0	0
101	NA	0	0
102	NA	0	0
103	NA	0	0
104	NA	0	0
105	NA	0	0
106	NA	0	0
107	NA	0	0
108	NA	0	0
109	NA	0	0
110	NA	0	0
111	NA	0	0
112	NA	0	0
113	NA	0	0
114	NA	0	0
115	NA	0	0
116	NA	0	0
117	NA	0	0
118	NA	0	0
119	NA	0	0
120	NA	0	0
121	NA	0	0
122	NA	0	0
123	NA	0	0
124	NA	0	0
125	NA	0	0
126	NA	0	0
127	NA	0	0
128	NA	0	0
129	NA	0	0
130	NA	0	0
131	NA	0	0
132	NA	0	0
133	NA	0	0
134	NA	0	0
135	NA	0	0
136	NA	0	0
137	NA	0	0
138	NA	0	0
139	NA	0	0
140	NA	0	0
141	NA	0	0
142	NA	0	0
143	NA	0	0
144	NA	0	0
145	NA	0	0
146	NA	0	0
147	NA	0	0
148	NA	0	0
149	NA	0	0
link
#    srcNode dstNode   bandwidth     metric    deLay   queue
	0	128	100Mbps		1	10ms	100
	0	1	100Mbps		1	10ms	100
	0	2	100Mbps		1	10ms	100
	0	3	100Mbps		1	10ms	100
	0	66	100Mbps		1	10ms	100
	0	118	100Mbps		1	10ms	100
